source,target,weight
744,2197,2.000000
1516,732,2.000000
174,2203,2.000000
1266,2204,2.000000
1534,492,2.000000
878,2206,2.000000
323,2207,2.000000
2208,2209,2.000000
812,2210,2.000000
29,86,2.000000
32,1802,2.000000
122,2213,2.000000
29,2214,2.000000
1132,629,2.000000
25,2217,2.000000
29,7,2.000000
1398,457,2.000000
1317,2218,2.000000
2219,1627,2.000000
1359,2223,2.000000
6,2224,2.000000
283,2134,2.000000
213,2227,2.000000
1278,1195,2.000000
1848,1959,2.000000
170,708,2.000000
686,448,2.000000
876,2234,1.000000
4,2237,1.000000
283,2153,1.000000
2245,2246,1.000000
2256,2173,1.000000
2257,2258,1.000000
2266,2267,1.000000
306,1415,1.000000
2280,2281,1.000000
2284,2285,1.000000
169,238,1.000000
1215,2286,1.000000
2099,1588,1.000000
547,2297,1.000000
1740,2298,1.000000
2301,510,1.000000
4,2303,1.000000
2304,2305,1.000000
2306,1797,1.000000
476,2321,1.000000
70,2324,1.000000
2327,2328,1.000000
2331,1760,1.000000
2060,2332,1.000000
930,2337,1.000000
1314,2340,1.000000
285,2341,1.000000
878,1481,1.000000
225,2343,1.000000
1350,2345,1.000000
2346,2347,1.000000
32,453,1.000000
489,2356,1.000000
2359,2360,1.000000
2361,2157,1.000000
2366,2367,1.000000
2369,1028,1.000000
465,2377,1.000000
4,2381,1.000000
111,2387,1.000000
2333,2392,1.000000
29,2394,1.000000
2397,2398,1.000000
476,2066,1.000000
213,2297,1.000000
2405,2406,1.000000
2250,2409,1.000000
2417,2418,1.000000
88,1503,1.000000
477,2419,1.000000
494,2423,1.000000
2430,2431,1.000000
2432,2433,1.000000
213,2434,1.000000
1813,2435,1.000000
1069,2438,1.000000
744,2439,1.000000
174,2444,1.000000
199,2445,1.000000
1245,2450,1.000000
4,784,1.000000
2461,1481,1.000000
855,1135,1.000000
2467,2468,1.000000
2470,2167,1.000000
1458,725,1.000000
1271,907,1.000000
2475,2476,1.000000
2477,2478,1.000000
437,2485,1.000000
4,1792,1.000000
2489,1188,1.000000
2490,2491,1.000000
4,1092,1.000000
1745,2497,1.000000
2499,2500,1.000000
2501,1221,1.000000
2502,2503,1.000000
2504,2505,1.000000
2510,2511,1.000000
20,2513,1.000000
29,2515,1.000000
29,635,1.000000
2525,2526,1.000000
2528,918,1.000000
2529,2530,1.000000
534,2534,1.000000
25,2535,1.000000
2537,1203,1.000000
1776,2539,1.000000
732,2553,1.000000
969,2557,1.000000
199,2564,1.000000
2570,2571,1.000000
1075,2577,1.000000
277,1553,1.000000
32,2585,1.000000
2588,2258,1.000000
2597,2598,1.000000
2601,2602,1.000000
2603,2604,1.000000
2609,2610,1.000000
955,2611,1.000000
1224,2621,1.000000
4,2634,1.000000
59,2639,1.000000
2640,1964,1.000000
2643,1498,1.000000
675,2648,1.000000
1179,752,1.000000
2655,2656,1.000000
2657,2658,1.000000
371,2661,1.000000
800,2663,1.000000
283,2670,1.000000
2671,2672,1.000000
2674,2675,1.000000
2682,2683,1.000000
2685,1706,1.000000
932,1847,1.000000
174,1819,1.000000
323,2692,1.000000
46,2696,1.000000
213,2697,1.000000
2702,1868,1.000000
32,2711,1.000000
248,2029,1.000000
53,2716,1.000000
724,2725,1.000000
2726,9,1.000000
2727,1872,1.000000
1005,2735,1.000000
283,866,1.000000
553,2744,1.000000
2748,2749,1.000000
2751,2752,1.000000
1398,2759,1.000000
595,1571,1.000000
2639,2777,1.000000
1412,2780,1.000000
1926,2781,1.000000
59,2783,1.000000
2788,2789,1.000000
437,1227,1.000000
283,248,1.000000
1489,1243,1.000000
59,2801,1.000000
199,390,1.000000
2802,2803,1.000000
1699,2510,1.000000
2502,2806,1.000000
29,1255,1.000000
363,2812,1.000000
2817,162,1.000000
